0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg
5.7,0.34,0.31,0.27,0.28,0.32,0.28,0.31,5.65,5.65,0.62,0.6,0.55,0.61,0.59,0.6,0.61,0.61,1.2,1.16,1.15,1.16,1.15,1.1,1.16,1.17,5.7,5.68,2.34,2.32,2.31,2.3,2.31,2.32,2.29,5.69
5.65,0.3,0.31,0.3,0.28,0.32,0.31,0.35,5.68,5.64,0.56,0.56,0.59,0.56,0.59,0.61,0.56,0.68,1.19,1.21,1.15,1.15,1.15,1.16,1.16,1.13,5.65,5.68,2.34,2.32,2.3,2.31,2.31,2.32,2.34,5.68
5.69,0.34,0.31,0.3,0.32,0.28,0.31,0.31,5.68,5.64,0.56,0.6,0.55,0.51,0.54,0.55,0.61,0.65,1.23,1.16,1.15,1.15,1.15,1.16,1.16,1.13,5.66,5.68,2.38,2.35,2.3,2.35,2.3,2.3,2.33,5.68
5.65,0.34,0.31,0.27,0.32,0.28,0.28,0.35,5.64,5.64,0.62,0.6,0.55,0.6,0.54,0.61,0.61,0.65,1.23,1.16,1.15,1.15,1.15,1.1,1.2,1.18,5.65,5.68,2.38,2.32,2.3,2.31,2.35,2.35,2.32,5.68
5.68,0.3,0.31,0.27,0.28,0.32,0.31,0.31,5.68,5.68,0.57,0.55,0.59,0.55,0.54,0.6,0.61,0.67,1.2,1.15,1.15,1.16,1.19,1.15,1.2,1.17,5.68,5.63,2.35,0.61,2.31,2.31,2.35,2.32,2.32,5.69
5.66,0.34,0.31,0.3,0.28,0.32,0.28,0.35,5.68,5.69,0.56,0.55,0.55,0.6,0.54,0.55,0.61,0.66,1.2,1.17,1.16,1.16,1.19,1.2,1.16,1.13,5.68,5.68,2.34,2.22,2.35,2.34,2.31,2.32,2.34,5.65
5.69,0.34,0.31,0.27,0.28,0.32,0.31,0.35,5.66,5.68,0.57,0.6,0.55,0.55,0.54,0.6,0.61,0.65,1.15,1.16,1.15,1.2,1.15,1.15,1.17,1.18,5.64,5.68,2.34,2.32,2.35,2.34,2.31,2.32,2.38,5.7
5.63,0.34,0.31,0.27,0.28,0.32,0.31,0.31,5.68,5.68,0.57,0.56,0.59,0.6,0.54,0.6,0.61,0.61,1.2,1.16,1.15,1.15,1.15,1.1,1.16,1.18,5.63,5.65,2.33,0.71,2.31,2.31,2.26,2.32,2.33,5.65
5.65,0.3,0.31,0.3,0.28,0.32,0.28,0.31,5.69,5.68,0.57,0.55,0.59,0.61,0.59,0.51,0.51,0.68,1.24,1.16,1.15,1.15,1.15,1.15,1.15,1.17,5.68,5.68,2.34,2.19,2.31,2.3,2.26,2.32,2.33,5.7
5.65,0.3,0.31,0.27,0.28,0.32,0.28,0.31,5.66,5.68,0.58,0.6,0.59,0.61,0.59,0.55,0.51,0.65,1.19,1.17,1.15,1.2,1.16,1.15,1.16,1.18,5.65,5.65,2.35,0.71,2.35,2.31,2.31,2.3,2.33,5.66
5.64,0.34,0.31,0.3,0.32,0.28,0.31,0.31,5.65,5.68,0.62,0.6,0.55,0.56,0.54,0.6,0.61,0.65,1.2,1.17,1.15,1.14,1.1,1.16,1.16,1.13,5.7,5.68,2.34,2.22,2.31,2.3,2.31,2.32,2.28,5.69
5.68,0.34,0.31,0.27,0.28,0.32,0.28,0.35,5.68,5.68,0.57,0.6,0.55,0.61,0.59,0.6,0.56,0.65,1.2,1.16,1.15,1.14,1.15,1.15,1.16,1.22,5.68,5.66,2.34,2.32,2.3,2.3,2.3,2.32,2.34,5.68
5.64,0.3,0.31,0.3,0.31,0.32,0.31,0.35,5.63,5.66,0.62,0.55,0.55,0.61,0.59,0.6,0.61,0.61,1.23,1.16,1.15,1.15,1.15,1.15,1.15,1.22,5.7,5.68,2.34,2.32,2.35,2.34,2.35,2.35,2.34,5.63
5.68,0.34,0.31,0.27,0.32,0.32,0.31,0.35,5.68,5.64,0.52,0.6,0.59,0.61,0.54,0.55,0.56,0.61,1.2,1.17,1.2,1.15,1.15,1.15,1.15,1.21,5.65,5.68,2.38,0.71,2.26,2.31,2.3,2.32,2.34,5.68
5.68,0.3,0.31,0.3,0.32,0.32,0.28,0.31,5.65,5.69,0.61,0.56,0.55,0.56,0.54,0.55,0.56,0.62,1.19,1.16,1.15,1.16,1.15,1.2,1.17,1.18,5.68,5.68,2.33,2.23,2.3,2.31,2.31,2.32,2.34,5.68
5.68,0.34,0.31,0.3,0.32,0.32,0.28,0.31,5.68,5.64,0.52,0.55,0.59,0.57,0.59,0.56,0.56,0.58,1.19,1.16,1.15,1.14,1.15,1.16,1.2,1.18,5.65,5.68,2.33,2.36,2.31,2.31,2.31,2.32,2.33,5.68
5.68,0.3,0.31,0.3,0.28,0.32,0.28,0.31,5.68,5.64,0.52,0.55,0.55,0.6,0.49,0.6,0.61,0.65,1.2,1.21,1.15,1.14,1.15,1.15,1.2,1.18,5.65,5.68,2.34,2.3,2.31,2.3,2.31,2.32,2.29,5.68
5.69,0.34,0.31,0.3,0.32,0.28,0.31,0.35,5.68,5.64,0.62,0.55,0.59,0.5,0.54,0.55,0.61,0.66,1.2,1.16,1.15,1.14,1.19,1.1,1.16,1.18,5.7,5.65,2.38,0.66,2.31,2.34,2.35,2.32,2.33,5.68
5.66,0.34,0.28,0.27,0.28,0.28,0.31,0.35,5.63,5.68,0.56,0.6,0.59,0.6,0.54,0.6,0.56,0.68,1.19,1.2,1.16,1.14,1.15,1.15,1.11,1.18,5.64,5.68,2.38,2.23,2.3,2.34,2.31,2.32,2.38,5.65
5.68,0.34,0.31,0.3,0.31,0.32,0.28,0.31,5.66,5.69,0.62,0.6,0.5,0.6,0.59,0.6,0.56,0.63,1.2,1.16,1.15,1.14,1.16,1.2,1.11,1.18,5.69,5.68,2.38,2.35,2.35,2.31,2.32,2.32,2.33,5.66
5.64,0.3,0.31,0.3,0.31,0.32,0.31,0.31,5.68,5.64,0.62,0.56,0.59,0.6,0.49,0.55,0.61,0.59,1.24,1.16,1.15,1.1,1.15,1.15,1.16,1.22,5.64,5.69,2.33,0.66,2.3,2.3,2.31,2.3,2.34,5.68
5.63,0.34,0.31,0.3,0.31,0.32,0.31,0.35,5.64,5.68,0.57,0.6,0.59,0.55,0.59,0.55,0.56,0.63,1.2,1.15,1.15,1.14,1.15,1.15,1.16,1.17,5.68,5.69,2.35,2.18,2.3,2.3,2.31,2.27,2.34,5.68
5.68,0.3,0.28,0.3,0.31,0.32,0.31,0.35,5.65,5.68,0.58,0.55,0.59,0.6,0.54,0.55,0.61,0.68,1.24,1.17,1.15,1.15,1.15,1.15,1.16,1.19,5.7,5.64,2.34,2.31,2.35,2.34,2.31,2.32,2.32,5.68
5.68,0.34,0.31,0.3,0.31,0.32,0.31,0.35,5.68,5.68,0.62,0.6,0.55,0.59,0.59,0.56,0.61,0.61,1.19,1.17,1.15,1.14,1.15,1.16,1.2,1.18,5.7,5.64,2.33,2.3,2.3,2.31,2.35,2.31,2.32,5.69
5.68,0.34,0.31,0.3,0.31,0.28,0.28,0.35,5.63,5.65,0.56,0.6,0.59,0.59,0.54,0.6,0.56,0.68,1.2,1.16,1.15,1.15,1.15,1.15,1.17,1.18,5.7,5.66,2.33,2.32,2.26,2.26,2.3,2.32,2.34,5.68
5.69,0.34,0.31,0.27,0.32,0.32,0.28,0.31,5.64,5.66,0.62,0.6,0.59,0.55,0.59,0.6,0.56,0.63,1.2,1.16,1.2,1.15,1.15,1.2,1.16,1.22,5.68,5.68,2.38,2.36,2.35,2.34,2.31,2.35,2.34,5.65
5.69,0.34,0.31,0.27,0.32,0.32,0.31,0.35,5.69,5.66,0.62,0.6,0.54,0.59,0.54,0.55,0.56,0.61,1.19,1.2,1.15,1.15,1.15,1.15,1.16,1.18,5.7,5.69,2.34,2.31,2.26,2.31,2.31,2.32,2.29,5.68
5.65,0.34,0.31,0.27,0.32,0.32,0.28,0.35,5.68,5.68,0.62,0.55,0.59,0.55,0.49,0.55,0.56,0.65,1.2,1.21,1.15,1.19,1.15,1.16,1.17,1.13,5.68,5.68,2.29,2.32,2.31,2.26,2.3,2.32,2.33,5.68
5.68,0.34,0.31,0.3,0.32,0.32,0.31,0.35,5.63,5.64,0.52,0.6,0.59,0.6,0.54,0.6,0.56,0.66,1.21,1.16,1.15,1.19,1.15,1.16,1.2,1.17,5.66,5.69,2.34,2.36,2.3,2.3,2.31,2.32,2.32,5.68
5.69,0.34,0.31,0.3,0.31,0.32,0.28,0.35,5.7,5.68,0.57,0.55,0.55,0.55,0.54,0.6,0.61,0.68,1.2,1.16,1.2,1.15,1.19,1.15,1.16,1.18,5.68,5.64,2.34,2.36,2.26,2.31,2.3,2.36,2.33,5.7
5.68,0.34,0.31,0.3,0.28,0.32,0.28,0.31,5.64,5.65,0.57,0.6,0.55,0.6,0.54,0.55,0.61,0.63,1.15,1.11,1.15,1.14,1.15,1.15,1.2,1.17,5.7,5.64,2.34,2.31,2.35,2.31,2.35,2.32,2.33,5.68
5.68,0.3,0.31,0.3,0.27,0.32,0.31,0.31,5.68,5.7,0.57,0.55,0.59,0.6,0.59,0.6,0.61,0.68,1.2,1.17,1.16,1.19,1.15,1.15,1.16,1.18,5.68,5.69,2.39,2.27,2.35,2.31,2.31,2.32,2.37,5.63
5.68,0.3,0.31,0.3,0.31,0.32,0.31,0.35,5.66,5.7,0.56,0.6,0.55,0.6,0.59,0.6,0.61,0.63,1.19,1.16,1.15,1.14,1.15,1.1,1.17,1.22,5.69,5.69,2.39,2.32,2.35,2.35,2.35,2.32,2.37,5.66
5.68,0.34,0.31,0.3,0.31,0.32,0.31,0.35,5.63,5.68,0.61,0.56,0.55,0.6,0.54,0.55,0.61,0.65,1.2,1.16,1.2,1.14,1.15,1.15,1.16,1.18,5.64,5.68,2.34,2.32,2.31,2.31,2.31,2.36,2.33,5.68
5.68,0.34,0.31,0.3,0.27,0.32,0.28,0.35,5.69,5.68,0.52,0.55,0.59,0.56,0.59,0.55,0.51,0.62,1.25,1.16,1.15,1.14,1.15,1.15,1.15,1.13,5.68,5.68,2.39,2.31,2.31,2.31,2.3,2.31,2.37,5.7
5.69,0.3,0.31,0.3,0.31,0.32,0.31,0.35,5.66,5.69,0.58,0.55,0.59,0.55,0.59,0.6,0.61,0.63,1.2,1.17,1.15,1.14,1.15,1.15,1.16,1.18,5.68,5.68,2.34,2.31,2.35,2.31,2.3,2.32,2.34,5.63
5.66,0.34,0.31,0.3,0.27,0.32,0.28,0.31,5.68,5.68,0.61,0.55,0.55,0.55,0.54,0.6,0.61,0.66,1.2,1.17,1.15,1.15,1.15,1.15,1.16,1.23,5.64,5.68,2.33,2.31,2.31,2.3,2.35,2.3,2.32,5.69
5.68,0.3,0.31,0.3,0.31,0.32,0.31,0.31,5.68,5.65,0.62,0.55,0.59,0.6,0.59,0.55,0.56,0.68,1.2,1.2,1.15,1.14,1.2,1.15,1.2,1.18,5.68,5.66,2.33,2.32,2.3,2.31,2.31,2.32,2.33,5.65
5.68,0.3,0.31,0.27,0.27,0.32,0.31,0.31,5.63,5.66,0.62,0.6,0.59,0.54,0.59,0.55,0.56,0.61,1.24,1.16,1.2,1.14,1.15,1.2,1.16,1.18,5.7,5.64,2.35,2.32,2.35,2.31,2.35,2.35,2.38,5.63
5.69,0.3,0.31,0.3,0.31,0.32,0.31,0.35,5.65,5.66,0.62,0.6,0.59,0.54,0.59,0.6,0.61,0.61,1.19,1.16,1.1,1.14,1.15,1.15,1.16,1.22,5.68,5.68,2.34,2.27,2.3,2.26,2.3,2.32,2.32,5.7
5.68,0.3,0.31,0.3,0.28,0.32,0.31,0.35,5.68,5.68,0.56,0.6,0.59,0.6,0.49,0.6,0.61,0.61,1.19,1.16,1.15,1.14,1.15,1.16,1.16,1.18,5.68,5.64,2.34,2.32,2.26,2.31,2.26,2.3,2.34,5.68
5.66,0.3,0.31,0.3,0.32,0.32,0.28,0.35,5.63,5.68,0.62,0.55,0.55,0.54,0.59,0.6,0.61,0.61,1.24,1.16,1.15,1.14,1.1,1.16,1.16,1.18,5.66,5.64,2.34,2.36,2.26,2.31,2.31,2.31,2.38,5.65
5.69,0.34,0.31,0.3,0.32,0.32,0.31,0.31,5.65,5.65,0.62,0.51,0.55,0.59,0.54,0.6,0.56,0.68,1.2,1.2,1.15,1.14,1.15,1.15,1.2,1.22,5.63,5.64,2.33,2.36,2.3,2.31,2.32,2.32,2.34,5.7
5.68,0.3,0.31,0.3,0.32,0.32,0.28,0.35,5.68,5.68,0.56,0.57,0.59,0.54,0.59,0.55,0.56,0.61,1.19,1.16,1.15,1.19,1.15,1.1,1.15,1.18,5.69,5.64,2.33,0.63,2.35,2.34,2.3,2.27,2.34,5.7
5.68,0.34,0.31,0.27,0.32,0.32,0.31,0.31,5.63,5.69,0.52,0.56,0.55,0.6,0.54,0.6,0.57,0.65,1.2,1.17,1.16,1.14,1.15,1.2,1.15,1.18,5.68,5.65,2.33,2.22,2.35,2.34,2.35,2.3,2.34,5.65
5.68,0.34,0.31,0.3,0.31,0.32,0.28,0.31,5.68,5.69,0.56,0.6,0.5,0.6,0.59,0.6,0.56,0.57,1.2,1.16,1.15,1.15,1.15,1.15,1.2,1.18,5.69,5.68,2.38,2.32,2.31,2.31,2.35,2.32,2.33,5.68
5.69,0.34,0.31,0.3,0.27,0.32,0.28,0.31,5.69,5.68,0.57,0.56,0.59,0.59,0.54,0.6,0.61,0.68,1.2,1.2,1.2,1.14,1.19,1.15,1.16,1.22,5.63,5.7,2.35,2.35,2.31,2.31,2.3,2.32,2.33,5.68
5.64,0.34,0.31,0.27,0.31,0.32,0.28,0.35,5.68,5.68,0.61,0.51,0.59,0.54,0.59,0.6,0.61,0.6,1.24,1.16,1.15,1.19,1.15,1.15,1.16,1.13,5.68,5.68,2.33,0.68,2.31,2.3,2.31,2.32,2.33,5.69
5.69,0.34,0.31,0.3,0.27,0.32,0.31,0.31,5.66,5.68,0.58,0.55,0.55,0.54,0.59,0.6,0.61,0.6,1.24,1.16,1.15,1.19,1.15,1.15,1.15,1.18,5.68,5.68,2.29,2.22,2.3,2.31,2.31,2.32,2.28,5.66
5.68,0.3,0.31,0.27,0.27,0.32,0.28,0.35,5.64,5.68,0.57,0.6,0.59,0.54,0.49,0.6,0.61,0.66,1.24,1.17,1.15,1.15,1.2,1.16,1.16,1.18,5.68,5.65,2.33,0.71,2.26,2.31,2.31,2.32,2.34,5.7
5.68,0.34,0.31,0.27,0.31,0.32,0.31,0.35,5.68,5.68,0.52,0.55,0.55,0.54,0.54,0.6,0.56,0.68,1.2,1.21,1.15,1.14,1.15,1.15,1.16,1.22,5.65,5.65,2.3,2.22,2.31,2.26,2.31,2.27,2.33,5.68
5.7,0.34,0.31,0.3,0.31,0.32,0.28,0.31,5.63,5.69,0.56,0.55,0.59,0.59,0.59,0.55,0.61,0.57,1.2,1.15,1.15,1.2,1.19,1.15,1.16,1.18,5.68,5.68,2.34,2.32,2.31,2.3,2.3,2.36,2.34,5.68
5.68,0.34,0.28,0.3,0.32,0.32,0.28,0.35,5.69,5.66,0.62,0.6,0.5,0.59,0.59,0.55,0.61,0.64,1.2,1.16,1.15,1.1,1.15,1.15,1.15,1.17,5.64,5.68,2.38,0.66,2.26,2.31,2.31,2.32,2.33,5.65
5.63,0.3,0.31,0.3,0.28,0.32,0.31,0.31,5.69,5.65,0.62,0.6,0.55,0.54,0.59,0.6,0.61,0.65,1.15,1.11,1.15,1.14,1.15,1.15,1.16,1.18,5.68,5.65,2.35,2.22,2.31,2.31,2.31,2.32,2.33,5.65
5.66,0.3,0.31,0.3,0.28,0.28,0.31,0.35,5.63,5.68,0.56,0.55,0.59,0.54,0.59,0.6,0.61,0.63,1.24,1.15,1.15,1.14,1.1,1.15,1.16,1.13,5.69,5.7,2.33,2.32,2.31,2.31,2.31,2.32,2.38,5.65
5.68,0.3,0.31,0.3,0.32,0.32,0.31,0.31,5.7,5.63,0.62,0.6,0.55,0.54,0.49,0.6,0.51,0.66,1.2,1.2,1.15,1.14,1.19,1.15,1.16,1.18,5.68,5.68,2.29,0.71,2.31,2.31,2.26,2.35,2.33,5.68
5.65,0.3,0.31,0.3,0.28,0.32,0.31,0.31,5.68,5.68,0.61,0.6,0.59,0.54,0.54,0.6,0.61,0.6,1.2,1.16,1.15,1.15,1.15,1.15,1.15,1.13,5.68,5.68,2.34,2.22,2.31,2.34,2.35,2.3,2.34,5.68
5.65,0.34,0.31,0.3,0.32,0.32,0.28,0.31,5.64,5.68,0.56,0.55,0.55,0.59,0.59,0.51,0.57,0.59,1.15,1.17,1.15,1.15,1.15,1.2,1.16,1.18,5.65,5.68,2.34,2.36,2.31,2.31,2.3,2.3,2.34,5.65
5.69,0.3,0.31,0.3,0.32,0.28,0.31,0.31,5.66,5.68,0.57,0.6,0.59,0.54,0.54,0.6,0.61,0.68,1.2,1.15,1.15,1.14,1.15,1.15,1.17,1.18,5.7,5.68,2.38,2.36,2.35,2.31,2.35,2.3,2.32,5.68
5.65,0.34,0.31,0.27,0.32,0.32,0.31,0.35,5.68,5.7,0.62,0.56,0.59,0.55,0.59,0.6,0.56,0.61,1.24,1.16,1.2,1.14,1.19,1.15,1.16,1.18,5.68,5.68,2.34,2.32,2.31,2.31,2.31,2.32,2.33,5.68
5.65,0.34,0.31,0.3,0.32,0.28,0.28,0.35,5.68,5.65,0.62,0.6,0.55,0.55,0.59,0.55,0.56,0.68,1.24,1.16,1.1,1.14,1.1,1.15,1.16,1.18,5.68,5.65,2.39,2.32,2.31,2.26,2.31,2.3,2.34,5.7
5.68,0.34,0.31,0.3,0.27,0.32,0.28,0.31,5.68,5.68,0.58,0.6,0.55,0.6,0.59,0.51,0.61,0.68,1.2,1.16,1.15,1.14,1.15,1.1,1.16,1.18,5.68,5.7,2.33,2.32,2.35,2.31,2.26,2.32,2.32,5.65
5.65,0.3,0.31,0.27,0.31,0.32,0.28,0.35,5.65,5.65,0.61,0.6,0.55,0.6,0.59,0.6,0.57,0.63,1.25,1.17,1.15,1.1,1.15,1.16,1.2,1.17,5.69,5.65,2.35,0.61,2.31,2.31,2.31,2.35,2.34,5.68
5.63,0.34,0.31,0.3,0.31,0.32,0.31,0.35,5.68,5.68,0.62,0.51,0.59,0.59,0.54,0.55,0.61,0.68,1.2,1.16,1.15,1.14,1.15,1.15,1.17,1.18,5.7,5.66,2.33,2.21,2.3,2.3,2.31,2.32,2.34,5.65
5.68,0.3,0.31,0.27,0.28,0.32,0.31,0.35,5.65,5.65,0.57,0.6,0.55,0.59,0.54,0.6,0.61,0.68,1.16,1.16,1.2,1.19,1.15,1.15,1.2,1.18,5.65,5.65,2.34,2.27,2.31,2.31,2.31,2.35,2.38,5.68
5.68,0.3,0.31,0.27,0.32,0.32,0.28,0.31,5.7,5.66,0.57,0.6,0.59,0.54,0.59,0.55,0.61,0.68,1.2,1.16,1.15,1.14,1.15,1.15,1.16,1.22,5.68,5.7,2.34,2.32,2.31,2.26,2.31,2.32,2.34,5.68
5.68,0.34,0.31,0.3,0.31,0.32,0.31,0.35,5.68,5.7,0.62,0.6,0.59,0.54,0.59,0.55,0.61,0.68,1.2,1.16,1.15,1.14,1.15,1.2,1.16,1.13,5.65,5.7,2.33,2.31,2.3,2.3,2.3,2.35,2.35,5.68
5.66,0.34,0.31,0.3,0.32,0.28,0.28,0.31,5.65,5.7,0.62,0.55,0.5,0.5,0.59,0.55,0.56,0.65,1.25,1.16,1.15,1.19,1.15,1.16,1.16,1.18,5.66,5.68,2.39,2.32,2.31,2.31,2.31,2.32,2.34,5.65
5.7,0.34,0.31,0.27,0.28,0.28,0.28,0.31,5.69,5.68,0.56,0.5,0.59,0.59,0.54,0.55,0.61,0.66,1.2,1.2,1.2,1.14,1.15,1.2,1.2,1.22,5.64,5.68,2.38,2.32,2.32,2.31,2.26,2.36,2.33,5.68
5.68,0.34,0.31,0.3,0.32,0.32,0.31,0.31,5.65,5.65,0.56,0.6,0.59,0.5,0.54,0.6,0.56,0.69,1.2,1.11,1.15,1.14,1.19,1.15,1.16,1.18,5.64,5.65,2.34,2.32,2.31,2.34,2.31,2.32,2.28,5.68
5.68,0.34,0.31,0.3,0.32,0.32,0.31,0.31,5.65,5.69,0.62,0.6,0.59,0.6,0.59,0.55,0.56,0.68,1.2,1.17,1.16,1.1,1.15,1.15,1.16,1.13,5.64,5.69,2.38,0.63,2.3,2.35,2.31,2.32,2.38,5.65
5.68,0.34,0.31,0.3,0.31,0.28,0.31,0.35,5.66,5.7,0.62,0.6,0.55,0.6,0.54,0.55,0.61,0.68,1.2,1.16,1.15,1.14,1.19,1.15,1.17,1.18,5.69,5.69,2.38,2.18,2.32,2.35,2.31,2.3,2.29,5.7
5.63,0.34,0.31,0.3,0.27,0.32,0.28,0.31,5.7,5.68,0.57,0.5,0.59,0.6,0.59,0.6,0.61,0.68,1.2,1.2,1.2,1.14,1.19,1.1,1.16,1.22,5.68,5.68,2.38,0.61,2.3,2.3,2.3,2.27,2.33,5.69
5.68,0.34,0.31,0.3,0.32,0.32,0.31,0.35,5.68,5.68,0.57,0.55,0.59,0.6,0.59,0.55,0.51,0.58,1.24,1.2,1.15,1.19,1.1,1.15,1.11,1.18,5.68,5.68,2.33,2.17,2.26,2.26,2.31,2.27,2.34,5.68
5.68,0.34,0.31,0.3,0.32,0.32,0.28,0.35,5.66,5.68,0.58,0.6,0.59,0.55,0.59,0.6,0.56,0.68,1.2,1.16,1.2,1.14,1.15,1.15,1.16,1.19,5.7,5.68,2.34,2.32,2.31,2.35,2.3,2.27,2.33,5.68
5.64,0.34,0.31,0.3,0.32,0.32,0.31,0.35,5.68,5.68,0.62,0.55,0.55,0.6,0.54,0.55,0.57,0.65,1.24,1.17,1.15,1.1,1.15,1.16,1.16,1.19,5.69,5.64,2.34,2.35,2.3,2.3,2.35,2.32,2.33,5.69
5.64,0.34,0.31,0.3,0.32,0.32,0.28,0.31,5.68,5.65,0.56,0.55,0.59,0.6,0.54,0.6,0.61,0.68,1.2,1.16,1.15,1.14,1.15,1.1,1.16,1.22,5.69,5.66,2.34,2.36,2.32,2.3,2.3,2.32,2.34,5.69
5.64,0.34,0.31,0.27,0.32,0.32,0.31,0.35,5.68,5.66,0.61,0.55,0.55,0.6,0.54,0.55,0.61,0.61,1.2,1.16,1.15,1.19,1.1,1.2,1.2,1.18,5.68,5.65,2.34,2.32,2.3,2.3,2.3,2.32,2.34,5.65
5.68,0.34,0.31,0.3,0.28,0.32,0.28,0.35,5.68,5.66,0.61,0.55,0.55,0.6,0.59,0.55,0.56,0.68,1.19,1.16,1.2,1.15,1.1,1.15,1.15,1.18,5.68,5.68,2.33,2.31,2.26,2.31,2.26,2.32,2.32,5.68
5.68,0.34,0.31,0.3,0.28,0.32,0.28,0.35,5.68,5.63,0.57,0.5,0.59,0.6,0.59,0.55,0.61,0.68,1.19,1.15,1.15,1.15,1.15,1.15,1.17,1.18,5.68,5.65,2.33,2.32,2.26,2.26,2.35,2.35,2.35,5.65
5.66,0.34,0.31,0.3,0.28,0.28,0.31,0.35,5.68,5.7,0.56,0.55,0.59,0.51,0.54,0.6,0.56,0.66,1.24,1.16,1.15,1.14,1.15,1.16,1.16,1.19,5.66,5.68,2.38,2.32,2.31,2.26,2.35,2.32,2.34,5.68
5.63,0.34,0.31,0.3,0.32,0.28,0.28,0.31,5.68,5.65,0.62,0.55,0.55,0.6,0.59,0.5,0.56,0.68,1.2,1.16,1.15,1.15,1.15,1.1,1.16,1.18,5.68,5.68,2.34,2.31,2.31,2.31,2.31,2.35,2.34,5.68
5.68,0.3,0.31,0.27,0.32,0.28,0.28,0.35,5.68,5.65,0.62,0.6,0.55,0.55,0.54,0.55,0.56,0.61,1.2,1.11,1.15,1.15,1.19,1.15,1.2,1.17,5.68,5.68,2.35,2.31,2.31,2.34,2.35,2.32,2.32,5.69
5.68,0.3,0.31,0.27,0.32,0.32,0.31,0.31,5.68,5.68,0.61,0.55,0.59,0.6,0.54,0.51,0.61,0.68,1.2,1.17,1.15,1.15,1.15,1.16,1.16,1.13,5.63,5.68,2.34,2.35,2.3,2.31,2.35,2.3,2.38,5.68
5.69,0.34,0.29,0.3,0.32,0.32,0.28,0.35,5.66,5.65,0.62,0.55,0.55,0.6,0.54,0.55,0.56,0.68,1.21,1.16,1.15,1.15,1.15,1.15,1.17,1.22,5.68,5.7,2.34,0.68,2.32,2.3,2.31,2.3,2.37,5.68
5.68,0.3,0.32,0.3,0.28,0.32,0.31,0.35,5.65,5.69,0.57,0.56,0.59,0.55,0.54,0.6,0.56,0.63,1.21,1.2,1.15,1.15,1.15,1.15,1.15,1.18,5.68,5.65,2.34,2.22,2.26,2.31,2.31,2.3,2.34,5.7
5.63,0.34,0.29,0.3,0.32,0.32,0.31,0.35,5.7,5.7,0.56,0.6,0.59,0.6,0.54,0.6,0.56,0.65,1.2,1.15,1.15,1.15,1.15,1.15,1.16,1.18,5.65,5.7,2.33,2.3,2.31,2.26,2.26,2.32,2.33,5.69
5.68,0.3,0.32,0.27,0.28,0.32,0.31,0.31,5.66,5.7,0.58,0.6,0.55,0.55,0.59,0.55,0.56,0.59,1.19,1.17,1.2,1.14,1.15,1.15,1.11,1.19,5.7,5.7,2.34,2.32,2.31,2.3,2.31,2.35,2.32,5.68
5.65,0.34,0.32,0.3,0.32,0.32,0.31,0.35,5.68,5.68,0.62,0.6,0.59,0.55,0.59,0.56,0.56,0.63,1.24,1.21,1.1,1.19,1.15,1.16,1.16,1.18,5.69,5.65,2.34,2.36,2.3,2.26,2.35,2.32,2.29,5.69
5.68,0.3,0.32,0.27,0.32,0.32,0.31,0.31,5.64,5.68,0.62,0.55,0.59,0.6,0.59,0.6,0.61,0.63,1.2,1.16,1.15,1.15,1.15,1.15,1.17,1.22,5.68,5.68,2.34,2.32,2.32,2.3,2.31,2.32,2.32,5.68
5.68,0.34,0.32,0.3,0.28,0.32,0.28,0.31,5.68,5.68,0.62,0.55,0.55,0.6,0.59,0.6,0.61,0.65,1.2,1.16,1.15,1.15,1.15,1.2,1.2,1.18,5.69,5.68,2.35,2.35,2.35,2.34,2.3,2.32,2.33,5.63
5.68,0.34,0.29,0.3,0.28,0.32,0.31,0.35,5.69,5.66,0.62,0.6,0.59,0.6,0.54,0.51,0.61,0.58,1.2,1.2,1.15,1.15,1.14,1.15,1.16,1.22,5.65,5.69,2.38,2.3,2.3,2.26,2.26,2.32,2.28,5.68
5.68,0.3,0.32,0.3,0.32,0.32,0.31,0.35,5.65,5.68,0.61,0.51,0.59,0.55,0.59,0.6,0.61,0.67,1.21,1.16,1.15,1.16,1.15,1.2,1.16,1.18,5.65,5.65,2.33,2.32,2.26,2.31,2.31,2.32,2.33,5.66
5.66,0.34,0.32,0.3,0.28,0.32,0.31,0.35,5.69,5.65,0.57,0.55,0.5,0.6,0.59,0.6,0.61,0.61,1.2,1.16,1.15,1.15,1.15,1.16,1.2,1.17,5.66,5.7,2.39,2.32,2.3,2.3,2.32,2.27,2.34,5.64
5.63,0.34,0.32,0.3,0.28,0.28,0.28,0.31,5.69,5.68,0.62,0.6,0.59,0.6,0.54,0.6,0.56,0.62,1.2,1.2,1.2,1.15,1.15,1.15,1.2,1.18,5.68,5.63,2.33,0.68,2.31,2.31,2.3,2.32,2.32,5.68
